class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
e;5.07;x;s;b;f;x;c;w;6.65;9.44;;s;n;;;f;f;;l;a
p;5.8;x;d;n;f;a;c;n;4.81;5.69;;i;n;;;t;;;d;a
p;4.76;x;t;y;f;a;c;y;6.12;7.92;;g;o;;;f;f;;g;u
p;2.53;s;w;n;t;d;c;y;2.5;5.38;;;n;;;f;f;;d;a
e;8.05;s;w;y;f;f;f;f;4.72;13.71;;;y;;;f;f;;d;u
e;1.23;b;g;w;f;;;g;3.22;1.75;;;w;;;f;f;;d;w
p;5.78;p;s;n;f;;;k;12.16;13.69;;s;w;;;t;z;;g;s
p;9.26;x;y;y;f;a;c;n;9.15;10.18;;y;y;;;t;;;d;a
p;5.43;x;t;y;f;x;c;y;4.81;12.21;;;y;;;f;f;;d;a
p;3.19;o;;k;f;f;f;f;3.14;12.67;;g;n;;;f;f;;d;u
e;4.15;x;;n;f;x;c;n;8.58;10.06;b;;n;;w;t;;;d;a
p;1.92;p;t;n;f;a;c;n;6.94;2.41;;t;y;;;t;e;;m;a
p;1.94;x;i;k;f;a;;w;4.55;2.72;;;w;;;f;f;p;g;u
p;8.48;b;t;w;f;e;c;w;13.28;13.61;;y;w;u;w;t;e;;d;u
e;3.98;x;t;n;f;d;;o;6.01;7.35;;t;o;;;f;f;;d;w
p;5.74;x;;w;f;;c;r;3.36;12.65;;;y;;;f;f;;d;a
p;4.69;x;e;e;f;a;;w;8.73;9.72;;;y;;w;t;z;;d;a
e;3.66;x;t;n;f;p;;n;5.34;10.81;;;e;;;f;f;;d;u
p;3.25;f;;y;f;x;;w;6.0;6.88;;;w;;;f;f;;d;u
e;12.65;s;t;w;t;d;c;o;6.39;17.22;;;w;;;f;f;;d;a
p;13.61;f;t;r;t;d;c;n;5.67;14.21;;;n;;;f;f;;d;u
p;3.8;f;t;n;f;x;c;p;5.99;4.7;;i;n;;;f;f;;g;u
e;3.28;x;k;n;f;p;;n;4.83;10.26;;;y;;;f;f;;d;a
p;13.45;x;t;g;t;d;c;n;5.03;26.19;;;g;;;f;f;;d;a
e;2.74;s;d;n;t;d;c;p;4.78;6.15;;;g;;;f;f;;d;a
p;1.96;x;g;y;f;d;d;n;2.68;2.92;;s;n;;;f;f;;h;u
p;9.22;f;;n;f;x;c;w;10.61;12.83;r;i;w;;;f;f;;h;a
e;7.65;x;d;e;t;p;;r;5.57;13.21;;;e;;;f;f;;d;u
p;9.7;x;;u;t;x;;n;8.08;18.21;s;;g;;u;f;f;;d;a
e;9.0;f;s;w;f;e;c;k;21.25;13.95;;s;w;;;t;e;;g;w
p;8.35;f;t;n;f;x;c;y;6.47;16.13;;;y;;;f;f;;d;a
p;5.89;b;y;n;f;;;k;8.35;12.94;;s;w;;;t;z;;g;u
e;3.22;p;y;w;f;e;c;k;3.85;10.82;;;w;;w;t;e;;g;a
p;2.0;b;;n;f;a;;g;4.79;2.1;;s;n;;;f;f;;d;u
p;7.04;x;t;e;f;x;d;w;6.9;17.79;b;;w;;;f;f;;d;u
e;4.82;f;y;n;f;e;c;p;4.34;11.69;;;w;;;t;r;;w;u
p;5.62;x;e;e;f;a;;g;7.19;10.15;;;e;;w;t;z;;d;a
p;2.13;f;;u;f;a;c;n;3.15;3.32;;i;w;;;f;f;;p;u
p;13.26;f;;g;f;e;;w;11.42;17.29;;;w;u;w;t;e;;d;a
p;7.69;b;y;w;f;;;k;16.1;17.82;;;w;;;f;f;;d;a
e;4.72;x;y;g;f;s;;y;4.3;7.56;;;w;;;f;f;;d;u
p;3.98;b;y;n;f;e;c;w;5.47;3.77;;k;w;;;t;e;;d;u
p;4.63;c;i;y;f;;c;r;6.47;7.56;;;w;;;f;f;;d;a
p;6.61;b;t;w;f;e;c;w;11.78;10.86;;y;w;u;w;t;e;;d;a
e;16.67;f;s;w;t;e;;n;11.82;18.74;s;;w;;;t;l;;m;a
e;16.66;x;e;n;t;e;;w;10.47;18.61;;;w;;;t;;;g;u
p;7.67;f;h;r;f;;c;w;10.94;13.48;;;w;u;w;t;p;;d;a
p;9.96;x;;n;f;x;c;w;9.62;11.4;r;i;w;;;f;f;;d;a
e;17.23;x;d;e;f;p;;w;18.13;37.42;s;y;w;;;f;f;;d;a
e;7.86;f;d;w;f;s;c;w;7.14;29.4;;;w;;;f;f;;d;u
p;8.9;x;;g;t;x;;u;9.3;20.32;s;;g;;u;f;f;;d;a
e;2.66;b;y;n;f;;c;n;5.92;2.66;;;w;;;f;f;;d;s
e;5.28;s;l;n;f;f;f;f;7.09;47.08;;;n;;;f;f;g;d;a
p;3.25;f;d;y;f;a;;y;5.35;6.67;;t;r;;;f;f;;g;u
e;11.74;s;t;w;t;d;c;o;5.3;16.94;;;w;;;f;f;;d;u
e;8.49;x;;n;f;a;;w;7.34;12.96;;;g;;;f;f;;d;u
e;8.15;s;t;p;t;d;c;o;4.62;17.53;;;w;;;f;f;;d;u
e;6.03;f;s;w;f;e;c;k;16.93;11.7;;s;w;;;t;e;;d;s
p;5.3;b;y;g;f;;;k;7.33;11.78;;s;w;;;t;z;;g;a
p;8.51;x;w;p;f;s;c;p;4.64;9.67;;;p;;;f;f;;d;w
e;10.27;p;i;n;t;e;;p;9.3;17.16;;y;w;;;t;p;;l;a
e;8.38;f;s;u;f;a;c;w;4.28;14.81;;;w;;;f;f;;d;u
e;0.99;b;g;w;f;;;g;3.42;1.53;;;w;;;f;f;;d;a
p;7.06;f;w;p;f;s;c;p;4.06;9.16;;;p;;;f;f;;d;a
e;7.56;s;;y;f;a;c;w;6.38;16.43;;;g;;;f;f;;d;a
p;2.55;b;g;y;f;;c;n;6.23;3.14;;;n;;;f;f;;g;u
e;8.02;x;;p;f;x;c;w;6.57;16.61;;s;w;;;f;f;;d;a
p;7.38;x;y;w;t;;;p;7.46;13.98;s;;w;;;t;l;;d;u
p;2.59;o;l;g;f;f;f;f;0.0;0.0;f;f;f;;;f;f;;d;w
e;5.89;x;;y;f;e;;w;6.09;13.13;b;;y;u;w;t;g;;d;u
e;3.37;x;;u;f;;d;w;5.79;4.2;;;w;;;f;f;;d;a
e;7.39;s;;g;f;s;c;p;6.98;20.23;b;;u;;;f;f;;d;a
p;2.64;o;;k;f;f;f;f;3.59;14.58;;g;n;;;f;f;;d;u
e;10.36;s;s;y;f;x;;n;6.12;20.68;;;w;;;f;f;;d;a
p;1.37;x;;n;f;;;k;4.69;2.43;;s;n;;;f;f;k;g;a
p;4.2;s;;u;f;a;;w;4.58;8.19;;;y;;;f;f;;d;a
p;5.68;f;d;n;f;a;c;y;5.31;6.62;;i;y;;;t;;;d;a
e;3.25;x;;y;f;a;c;o;2.89;9.21;;;w;;;f;f;;d;u
e;6.1;c;;n;f;f;f;f;5.41;20.63;;;n;;;f;f;;l;s
e;4.16;f;y;g;f;s;;g;4.31;5.63;;;w;;;f;f;;d;a
p;1.08;b;t;y;f;;c;g;3.43;2.6;;;n;;;t;f;;m;u
p;9.58;f;y;y;f;s;c;y;6.7;15.69;;y;u;;;f;f;;d;a
e;9.2;s;;w;t;d;c;y;5.5;25.77;;;w;;;f;f;;d;a
p;6.5;x;s;n;t;s;d;r;6.47;14.28;r;y;n;;;f;f;;d;u
p;9.71;x;;n;f;x;c;w;10.65;12.79;r;i;w;;;f;f;;h;a
p;2.79;o;l;g;f;f;f;f;0.0;0.0;f;f;f;;;f;f;;d;s
e;8.3;s;;n;f;;;w;3.31;16.13;;;n;;;f;f;;d;a
p;2.83;s;w;u;f;a;c;u;4.47;4.69;;s;u;;;f;f;;d;a
p;11.2;f;t;n;t;d;c;n;5.36;16.38;;;n;;;f;f;;h;u
p;4.61;f;;y;f;s;d;y;5.72;12.39;;i;y;;;f;f;;d;a
e;3.43;x;;w;f;x;c;n;7.81;7.81;b;;n;;w;t;;;g;u
e;7.85;f;;g;f;s;c;g;5.3;17.6;b;;u;;;f;f;;d;w
e;4.58;f;;y;f;x;c;u;6.31;4.28;;;w;;;f;f;;d;a
p;5.87;o;s;n;f;;c;w;0.0;0.0;f;f;f;;;f;f;n;d;u
p;1.81;f;y;o;f;d;;o;3.01;5.72;;;y;;;f;f;;h;a
p;3.74;f;d;b;f;x;c;w;4.64;3.15;b;i;n;;;f;f;;d;a
e;5.13;x;;n;f;x;c;n;7.86;9.48;b;;n;;w;t;;;d;s
e;3.53;f;d;n;t;d;c;p;5.09;5.93;;;n;;;f;f;;d;u
p;5.81;f;k;y;f;p;;n;4.49;6.0;;k;n;;;t;f;;d;u
e;9.54;x;s;u;f;a;c;w;4.7;15.89;;;w;;;f;f;;d;a
e;13.78;s;t;n;f;a;d;k;6.8;21.66;;;w;;;f;f;w;d;u
p;0.88;x;g;e;f;a;;n;4.37;1.09;;s;k;;;f;f;;d;s
p;5.29;s;d;o;f;d;c;o;2.98;5.94;;;y;;;f;f;;h;u
p;13.44;f;g;e;f;e;;w;16.74;16.54;s;y;w;u;w;t;p;;d;u
e;6.83;x;h;y;t;x;c;y;7.26;14.06;;;w;;;f;f;;d;u
p;3.03;s;s;g;f;d;c;w;2.85;7.65;;;w;;;f;f;;g;a
p;12.42;x;e;n;t;p;;o;9.88;34.55;;;u;;;f;f;;d;u
p;3.13;b;w;u;f;a;c;g;5.41;5.21;;s;u;;;f;f;;d;u
p;1.3;s;s;y;f;f;f;f;2.94;4.97;;;y;;;f;f;;d;a
p;3.56;f;d;n;f;x;c;w;3.73;2.89;b;s;n;;;f;f;;d;u
e;2.19;x;;u;f;;d;u;4.82;3.69;;;w;;;f;f;;d;w
p;8.31;x;t;e;f;x;d;w;6.72;18.45;b;;w;;;f;f;;d;a
e;4.93;s;;n;f;d;c;w;5.33;8.0;;s;w;;;f;f;;l;a
e;13.82;f;t;w;f;a;d;k;3.08;20.6;;;w;;;f;f;w;d;w
e;7.49;x;y;n;f;e;c;p;5.92;10.51;;y;n;;;f;f;;d;u
e;1.08;c;g;n;t;a;;w;5.3;0.97;;;n;;;f;f;;d;a
p;1.48;c;t;n;f;;;n;5.77;2.36;;;y;;;f;f;;g;a
e;7.98;f;h;o;f;s;;y;7.93;11.22;;i;o;;;f;f;;d;a
p;2.95;b;w;r;f;a;;y;5.08;6.39;;t;y;;;f;f;;d;a
p;9.03;x;h;r;f;;c;w;11.08;17.04;;;w;u;w;t;p;;d;u
p;5.19;x;;w;f;;c;g;3.43;12.48;;;y;;;f;f;;d;a
e;3.0;f;h;n;f;;c;k;4.29;6.13;;s;w;;w;f;f;k;d;u
p;4.99;c;i;y;f;;c;r;6.59;7.15;;;w;;;f;f;;d;a
e;7.65;x;;n;t;p;;g;11.37;27.16;;y;w;;;f;f;;d;u
e;3.51;x;s;o;f;p;;n;4.13;9.13;;;n;;;f;f;;d;a
e;15.71;x;e;g;f;a;c;w;8.85;26.19;s;;w;;;f;f;;l;a
e;4.55;f;d;o;f;d;d;b;5.63;11.85;;;w;;;f;f;;g;w
p;6.23;x;;g;t;x;;u;7.18;18.01;s;;n;;u;f;f;;d;a
e;6.83;x;t;y;t;x;c;y;7.17;15.22;;;w;;;f;f;;d;u
p;5.35;c;i;y;f;;c;r;6.35;6.69;;;w;;;f;f;;d;a
p;6.38;x;s;n;f;s;;g;5.94;8.21;;y;n;;;f;f;;d;w
p;7.98;s;t;n;f;x;c;y;6.41;17.31;;;y;;;f;f;;d;a
p;4.21;o;s;n;f;;c;w;0.0;0.0;f;f;f;;;f;f;n;d;a
p;15.15;s;t;k;t;d;c;n;5.25;27.31;;;r;;;f;f;;l;a
e;1.01;f;g;e;t;a;;w;6.25;1.01;;;n;;;f;f;;d;u
p;4.15;x;s;y;f;;c;r;8.99;7.12;;;y;u;w;t;z;k;d;s
e;5.52;f;s;n;f;x;c;w;7.38;10.25;;s;n;;;f;f;;l;w
p;3.01;b;y;n;f;;c;w;6.7;4.64;s;s;w;;;f;f;;d;a
p;0.85;b;t;n;f;;c;g;3.1;2.37;;;n;;;t;f;;m;a
p;4.25;x;t;n;f;s;c;n;5.54;8.94;;;w;;n;t;z;;d;a
p;3.97;x;y;y;f;a;;w;5.41;3.58;;y;y;;;t;r;;h;a
p;2.25;b;;g;f;a;;g;5.21;2.03;;s;g;;;f;f;;d;a
p;15.41;s;t;g;t;d;c;n;5.12;26.54;;;n;;;f;f;;d;a
e;3.4;f;d;u;t;d;c;p;5.1;6.61;;;g;;;f;f;;d;u
p;4.1;x;y;n;f;a;;w;5.56;3.62;;y;y;;;t;r;;g;u
p;9.9;o;;n;f;f;f;f;3.76;25.19;;g;n;;;f;f;;d;s
e;10.23;x;i;n;t;e;;p;9.06;16.92;;y;w;;;t;l;;d;a
e;2.63;s;y;n;f;a;d;p;9.24;4.2;;i;n;;;f;f;;h;a
e;4.52;f;;w;f;x;c;u;6.45;3.81;;;w;;;f;f;;d;u
p;0.89;b;t;y;f;;c;g;3.38;2.28;;;n;;;t;f;;g;u
e;4.01;x;d;n;f;p;;e;5.04;10.73;;;y;;;f;f;;d;a
p;9.26;x;y;w;t;;;w;7.41;12.68;s;;w;;;t;l;;g;a
p;9.74;x;e;n;f;a;;n;9.44;18.01;s;;n;;e;f;f;;d;a
p;7.94;o;;n;f;f;f;f;4.09;23.86;;g;n;;;f;f;;d;u
p;5.11;x;;n;f;d;c;y;4.53;8.67;b;;n;;;f;f;;d;a
p;0.61;x;g;o;f;;;y;3.13;0.59;;;w;;;f;f;;d;a
p;4.26;x;;y;f;s;d;y;5.16;10.41;;i;y;;;f;f;;d;a
p;2.52;s;w;o;t;d;c;n;3.63;6.15;;;n;;;f;f;;d;a
p;7.85;b;y;w;f;;;p;14.42;18.27;;;w;;;f;f;;d;a
e;6.0;x;;w;f;e;;w;6.25;13.53;b;;w;u;y;t;g;;d;a
e;1.2;p;g;g;f;;;g;3.11;1.52;;;w;;;f;f;;d;s
p;6.22;x;d;n;t;d;c;n;8.02;10.34;;;e;;;f;f;;d;a
p;1.64;f;y;o;f;a;;y;2.7;4.9;;;o;;;f;f;;m;a
e;5.65;x;;y;f;e;;w;6.18;12.74;b;;y;u;w;t;g;;d;u
e;47.61;o;y;y;f;p;;y;6.31;34.77;;k;k;;;f;f;;d;s
p;7.15;x;t;n;f;x;c;y;5.97;14.5;;;y;;;f;f;;d;a
p;4.14;f;;u;f;a;;w;4.7;7.37;;;y;;;f;f;;d;a
p;9.61;x;;u;t;x;;n;8.71;18.91;s;;u;;u;f;f;;d;a
p;9.14;x;y;y;f;a;c;y;12.89;12.77;;y;y;;;t;;;d;a
p;12.49;x;i;y;f;a;;o;14.69;25.02;r;;y;;;t;r;n;d;u
p;3.9;b;y;n;f;;c;u;5.9;4.63;s;s;w;;;f;f;;d;a
p;11.92;f;t;r;t;d;c;n;6.25;17.11;;;n;;;f;f;;d;a
p;5.35;f;;n;f;d;c;w;5.13;9.4;b;;n;;;f;f;;l;a
p;9.32;s;t;p;t;d;c;p;8.47;15.15;;;p;;;t;f;;d;a
p;12.32;x;h;n;f;s;;p;8.14;18.0;;i;n;;;f;f;;d;u
e;1.31;x;g;n;f;d;;w;4.93;1.82;;t;y;;;f;f;;d;u
e;1.16;x;w;n;f;;d;k;5.05;2.4;;;w;;;f;f;;d;s
e;10.5;f;;n;t;;;w;14.17;22.11;b;;w;u;w;t;g;;d;a
p;12.34;x;k;n;t;p;;e;8.76;26.43;c;;y;;;f;f;;d;u
e;6.81;f;;n;f;x;c;w;5.67;15.37;;s;w;;;f;f;;d;a
e;11.86;x;t;n;f;p;;w;13.69;60.73;;;n;;;f;f;;d;a
p;9.16;f;;r;f;x;c;y;7.5;13.07;;;w;;;f;f;;d;a
p;7.6;o;e;n;f;;c;o;1.46;15.71;;;n;;;f;f;;d;w
p;9.15;p;g;n;f;e;;w;8.16;14.71;;y;w;u;w;t;p;;d;u
p;12.4;f;;n;f;e;;w;10.87;13.27;;;w;u;w;t;g;;d;a
p;2.07;b;;n;f;a;;k;7.65;2.12;;;g;;w;f;f;k;g;a
p;9.85;x;t;n;f;a;d;w;12.7;33.33;;;w;;;f;f;;d;u
p;8.26;f;d;n;t;d;c;y;5.7;9.46;;;e;;;f;f;;d;u
e;6.74;x;l;w;f;d;;w;3.42;8.66;;;w;;;f;f;;d;a
p;2.32;b;g;n;f;;c;n;7.02;3.33;;;n;;;f;f;;g;u
p;3.15;s;d;w;f;a;d;w;3.2;2.43;;h;w;;;f;f;;g;u
e;4.74;x;;y;f;a;c;y;4.39;10.08;;;w;;;f;f;;d;a
e;11.02;f;s;n;t;e;;n;8.84;17.38;s;;w;;;t;l;;m;u
p;7.27;s;d;n;t;d;c;w;8.01;10.76;;;e;;;f;f;;d;a
p;3.86;f;w;u;f;a;c;u;6.34;5.16;;s;u;;;f;f;;l;a
p;8.51;b;y;w;f;;;p;15.55;17.71;;;w;;;f;f;;d;a
e;4.07;x;t;n;f;p;;n;5.86;12.73;;;n;;;f;f;;d;u
e;48.47;o;y;y;f;p;;y;6.75;39.05;;k;n;;;f;f;;d;u
e;14.87;x;w;n;f;p;;w;11.53;57.35;;;n;;;f;f;;d;a
p;2.77;b;;g;f;a;;k;8.08;2.44;;;n;;w;f;f;k;g;a
p;9.49;x;y;n;f;a;c;n;11.94;11.1;;y;n;;;t;;;d;a
e;10.15;p;y;n;t;e;;p;9.45;18.24;;y;w;;;t;l;;l;a
e;8.36;s;t;w;t;d;c;o;5.97;17.22;;;w;;;f;f;;d;a
p;9.73;x;e;n;f;a;;n;12.5;16.54;s;;n;;n;f;f;;d;a
e;3.08;x;h;n;f;;c;n;6.32;6.34;;s;w;;w;f;f;k;d;u
p;2.68;c;;w;f;a;c;w;3.17;3.44;;i;u;;;f;f;;p;a
p;3.64;f;k;n;f;s;;p;4.32;3.38;;;n;;;f;f;p;g;a
e;6.25;x;y;g;f;s;;w;4.58;8.05;;;w;;;f;f;;d;u
e;7.13;f;y;n;f;e;c;p;5.72;14.26;;;w;;;t;r;;w;u
p;1.57;b;g;n;f;;c;n;4.46;2.6;;;n;;;f;f;;g;s
e;4.19;x;t;n;f;d;;o;5.72;7.29;;t;o;;;f;f;;d;a
e;5.86;s;;n;f;d;c;w;5.21;7.63;;s;w;;;f;f;;l;a
p;2.21;o;;g;f;f;f;f;3.37;16.69;;g;g;;;f;f;;d;a
p;3.78;x;t;o;f;a;c;n;4.44;5.92;;y;o;;;t;z;;d;w
e;4.32;x;y;n;f;s;;y;4.2;7.41;;;w;;;f;f;;d;a
p;3.72;f;y;w;f;e;c;n;3.72;3.42;;k;w;;;t;e;;d;u
p;3.77;o;;g;f;f;f;f;3.65;15.04;;g;n;;;f;f;;d;a
p;3.82;x;h;r;f;s;c;g;5.51;6.71;;y;l;;;t;e;u;d;u
p;5.13;x;e;e;f;a;;g;6.67;8.94;;;e;;w;t;z;;d;a
p;0.73;x;;o;f;d;;o;4.49;1.05;;;y;;;f;f;w;g;a
p;3.97;o;t;w;f;;c;w;0.0;0.0;f;f;f;;;f;f;n;d;u
e;11.36;s;;w;t;d;c;p;4.84;23.08;;;w;;;f;f;;d;u
e;3.54;s;;n;f;f;f;f;6.93;7.31;;;o;;;f;f;;d;a
p;2.64;b;h;n;f;;;k;9.0;4.95;;;w;;;t;;k;g;a
p;13.12;x;t;r;t;d;c;n;6.43;18.1;;;n;;;f;f;;d;a
e;5.68;x;;y;f;e;;w;6.14;12.7;b;;w;u;y;t;g;;d;a
p;6.91;x;s;n;f;s;;n;4.74;6.71;;y;n;;;f;f;;d;w
p;1.28;x;;n;f;;;n;4.66;2.45;;s;n;;;f;f;k;g;u
e;55.11;o;y;y;f;p;;y;7.76;52.77;;k;k;;;f;f;;d;u
e;3.35;f;h;n;f;;c;k;6.29;6.1;;s;w;;w;f;f;k;d;u
e;6.02;x;d;n;t;p;;y;6.58;11.94;;;y;;;f;f;;d;u
p;2.47;x;g;e;f;a;;w;5.91;2.44;;;w;;;f;f;;d;u
e;4.93;x;y;g;f;s;;y;3.62;6.74;;;w;;;f;f;;d;u
p;3.95;o;s;n;f;;c;w;0.0;0.0;f;f;f;;;f;f;n;d;u
p;7.46;b;t;w;f;e;c;w;11.92;11.07;;y;w;u;w;t;e;;d;a
e;5.86;s;l;w;f;d;;p;3.25;8.78;;;w;;;f;f;;d;a
e;20.35;f;y;n;f;;;w;25.12;19.25;s;;n;;;t;m;;d;u
e;51.21;o;y;y;f;p;;y;6.39;47.23;;k;k;;;f;f;;d;u
e;2.75;s;;n;f;f;f;f;6.68;7.27;;;y;;;f;f;;d;a
p;0.58;x;g;y;f;;;y;3.37;0.73;;;y;;;f;f;;d;u
e;9.11;x;t;n;t;p;;n;7.7;16.82;;;n;;w;t;p;;d;a
e;6.34;x;t;y;f;p;;y;7.34;14.45;;;y;;y;t;;;d;a
e;12.98;f;y;n;f;;;w;18.44;18.55;s;;n;;;t;m;;d;u
p;7.8;p;g;n;f;e;;w;8.92;15.9;;y;w;u;w;t;p;;d;u
e;4.76;x;;w;f;x;c;w;8.15;9.05;b;;n;;w;t;;;d;u
p;1.33;f;s;y;f;f;f;f;3.72;5.71;;;y;;;f;f;;d;a
e;6.38;f;y;n;f;e;c;p;4.84;12.23;;;w;;;t;l;;w;u
e;5.96;f;s;n;f;x;c;w;7.01;9.89;;s;n;;;f;f;;l;w
p;3.38;o;l;g;f;f;f;f;0.0;0.0;f;f;f;;;f;f;;d;a
e;11.37;f;;n;t;;;w;13.86;22.33;b;;w;u;w;t;g;;d;u
p;17.4;x;h;n;t;p;;e;9.58;28.15;c;;y;;;f;f;;d;u
p;3.99;x;t;n;f;s;c;n;5.37;8.78;;;w;;n;t;z;;d;u
p;1.65;x;;n;f;;;n;5.3;2.68;;s;n;;;f;f;k;g;a
e;5.34;x;s;o;f;p;;n;6.4;13.31;;;n;;;f;f;;d;u
e;6.24;f;s;n;f;x;c;w;5.62;9.6;;s;n;;;f;f;;l;w
e;52.3;o;y;y;f;p;;y;8.7;40.97;;k;n;;;f;f;;d;s
e;3.8;x;s;w;f;d;d;w;3.95;5.36;;;w;;;f;f;;g;w
e;3.97;x;t;o;f;p;;n;5.71;12.22;;;e;;;f;f;;d;a
e;5.76;b;h;k;f;s;d;g;6.55;11.05;;s;g;;;f;f;;d;a
p;4.93;s;d;o;f;d;c;y;3.54;6.91;;;y;;;f;f;;h;u
p;6.02;x;k;n;f;a;c;y;5.71;6.68;;i;y;;;t;;;d;u
e;16.73;x;d;n;f;p;;n;16.67;35.26;s;y;w;;;f;f;;d;a
p;11.36;f;t;r;t;d;c;n;5.77;14.04;;;n;;;f;f;;d;u
e;6.92;f;s;n;f;s;c;w;6.06;11.09;b;i;n;;;f;f;;l;u
e;6.64;x;;w;f;e;;w;5.88;11.95;b;;y;u;y;t;g;;d;a
p;5.87;f;;y;f;s;d;y;6.27;13.91;;i;y;;;f;f;;d;a
e;9.98;s;;w;t;d;c;p;6.39;23.27;;;w;;;f;f;;d;a
e;7.09;f;s;n;f;s;c;w;5.51;10.34;b;i;w;;;f;f;;l;a
p;10.17;x;;n;f;x;c;w;10.66;12.97;r;i;w;;;f;f;;d;u
e;3.64;f;h;n;f;;c;n;5.58;6.44;;s;w;;w;f;f;k;d;u
e;4.22;b;g;n;f;a;d;g;4.63;3.34;;s;n;;;f;f;;d;w
p;2.37;x;g;n;f;a;;w;6.05;2.44;;;w;;;f;f;;d;u
p;3.27;x;i;e;f;;;e;4.48;5.48;;;e;;;f;f;n;d;a
p;10.98;s;t;k;t;d;c;w;4.55;25.63;;;n;;;f;f;;d;u
p;2.83;f;d;b;f;x;c;y;4.58;3.26;b;s;n;;;f;f;;d;u
e;3.43;x;s;w;f;d;d;w;3.62;5.54;;;w;;;f;f;;m;a
p;4.08;f;y;w;f;e;c;n;4.53;3.59;;k;w;;;t;e;;d;u
e;12.24;f;e;b;f;;c;b;5.72;21.81;;;w;;;t;f;;d;a
p;1.12;x;g;w;f;a;d;w;3.33;1.95;;;e;;;f;f;;l;a
p;3.65;f;;b;f;x;;w;4.26;5.6;;;w;;;f;f;;d;a
p;0.89;b;t;y;f;;c;g;2.91;2.2;;;n;;;t;f;;m;u
p;3.87;s;w;u;f;a;c;g;5.48;5.67;;s;u;;;f;f;;l;u
e;6.33;x;y;n;f;e;c;p;5.75;9.95;;y;n;;;f;f;;d;u
e;6.65;x;d;e;t;p;;y;6.29;12.37;;;y;;;f;f;;d;a
e;6.24;f;h;k;f;s;d;g;4.59;8.87;;s;g;;;f;f;;d;u
p;8.04;x;g;n;f;e;;w;8.67;15.26;;y;w;u;w;t;p;;d;u
p;9.23;x;e;n;f;a;;n;10.24;15.61;s;;n;;n;f;f;;d;a
e;5.54;f;t;o;f;a;d;w;5.12;5.23;;s;o;;;f;f;;d;w
p;1.73;x;g;y;f;d;d;n;2.64;2.77;;s;n;;;f;f;;h;a
p;8.82;o;e;o;f;;c;y;1.68;16.19;;;n;;;f;f;;d;a
p;1.98;p;t;n;f;a;c;g;7.19;2.18;;t;y;;;t;e;;m;s
e;5.85;b;h;k;f;s;d;w;5.42;10.14;;s;g;;;f;f;;d;u
p;1.58;o;k;n;f;;;n;3.99;1.52;;;n;;;f;f;;d;u
e;10.13;p;i;n;t;e;;p;9.03;17.86;;y;w;;;t;p;;d;a
e;9.36;x;s;n;f;e;c;w;6.17;9.68;;i;n;;;f;f;p;d;s
e;5.1;x;w;y;f;f;f;f;3.64;12.89;;;y;;;f;f;;d;u
p;1.91;b;g;n;f;;c;n;5.64;2.8;;;n;;;f;f;;d;a
p;2.71;b;t;y;f;a;;r;5.1;6.57;;t;r;;;f;f;;m;a
e;5.13;x;;w;f;x;c;n;8.62;9.68;b;;n;;w;t;;;g;a
p;10.5;x;e;y;t;p;;e;8.17;23.56;;;e;;;f;f;;d;u
p;3.13;o;l;g;f;f;f;f;0.0;0.0;f;f;f;;;f;f;;d;s
p;2.62;x;k;w;f;s;;p;3.58;2.54;;;n;;;f;f;p;g;a
p;7.76;x;h;r;f;;c;w;11.44;17.24;;;w;u;w;t;g;;d;a
e;7.16;x;;p;f;x;c;w;6.28;14.63;;s;w;;;f;f;;d;u
p;8.9;f;h;r;f;;c;w;10.97;16.9;;;w;u;w;t;p;;d;u
e;13.67;s;t;k;f;a;d;y;7.22;22.17;;;w;;;f;f;w;d;u
e;13.79;x;e;n;f;a;c;w;7.53;24.26;s;;w;;;f;f;;d;a
e;7.81;x;d;y;t;p;;y;5.96;13.12;;;e;;;f;f;;d;u
e;7.49;s;;y;f;a;c;w;6.61;16.34;;;g;;;f;f;;d;a
e;5.9;x;h;y;f;p;;y;7.09;15.21;;;y;;y;t;;;d;a
e;10.07;f;e;b;f;;c;b;4.86;21.05;;;w;;;t;f;;d;a
e;5.79;c;t;n;f;e;;w;11.61;12.45;;s;w;u;w;f;f;;d;u
e;20.32;p;d;e;f;p;;w;16.16;36.8;s;y;w;;;f;f;;d;u
e;1.54;x;t;n;f;a;;w;4.89;1.66;;t;y;;;f;f;;d;a
e;4.39;f;y;g;f;s;;y;4.14;7.65;;;w;;;f;f;;d;a
e;8.22;x;;g;t;p;;g;9.9;25.32;;y;w;;;f;f;;d;a
p;6.85;o;e;o;f;;c;y;1.4;14.49;;;n;;;f;f;;d;a
p;1.54;o;k;n;f;;;n;4.17;1.66;;;n;;;f;f;;d;s
p;6.46;x;e;e;f;a;;y;8.08;11.0;;;e;;w;t;z;;d;a
e;4.16;f;h;n;f;;c;k;6.86;6.88;;s;w;;w;f;f;k;d;a
e;4.61;x;s;o;f;p;;n;5.53;11.79;;;e;;;f;f;;d;u
p;7.77;s;t;p;t;d;c;p;6.53;12.28;;;p;;;t;f;;d;a
